"country","overall","country.1","prev_emergence_pathogens","country.2","early_detection","country.3","rapid_response","country.4","robust_health_sector","country.5","commitments","country.6","risk_environment","country_code"
"Afghanistan",32.3,"Bahamas",24.7,"Mozambique",29.3,"eSwatini (Swaziland)",29.3,"Mauritius",15.1,"Jamaica",43.1,"Uzbekistan",47.8,"AFG"
"Albania",52.9,"Vietnam",49.5,"Kyrgyz Republic",64.7,"Mexico",50.8,"Bulgaria",41,"New Zealand",59.4,"Barbados",69.9,"ALB"
"Algeria",23.6,"Djibouti",16.3,"Samoa",14.1,"Haiti",21.1,"Barbados",8.5,"Andorra",32.4,"Uganda",35.5,"DZA"
"Andorra",30.5,"Mali",23.4,"Benin",24.2,"Kazakhstan",26.6,"Solomon Islands",12.4,"Solomon Islands",40.1,"Solomon Islands",44,"AND"
"Angola",25.2,"Antigua and Barbuda",17.8,"Trinidad and Tobago",14.7,"Angola",21.7,"Libya",9.1,"Morocco",32.7,"Liberia",37.4,"AGO"
"Antigua and Barbuda",29,"St Lucia",22.8,"Monaco",23.3,"Monaco",26,"Honduras",12,"Uruguay",39.3,"Benin",42.8,"ATG"
"Argentina",58.6,"Latvia",56,"Albania",74.3,"Uganda",56.5,"Austria",46.6,"United Arab Emirates",63.4,"Uruguay",74.8,"ARG"
"Armenia",50.2,"Estonia",47.6,"Poland",61.7,"Kyrgyz Republic",49.9,"Qatar",38.8,"France",58.6,"Qatar",68,"ARM"
"Australia",75.5,"Netherlands",73.7,"Canada",96.4,"Netherlands",79.1,"Canada",67.7,"Finland",75.4,"Luxembourg",84.7,"AUS"
"Austria",58.5,"Croatia",55.2,"El Salvador",73.9,"Armenia",55.5,"Japan",46.6,"Peru",63,"United Kingdom",74.7,"AUT"
"Azerbaijan",34.2,"Côte d'Ivoire",27.3,"San Marino",33.9,"Rwanda",31.9,"Maldives",18.1,"Maldives",45.5,"Ghana",51,"AZE"
"Bahamas",30.6,"Eritrea",23.4,"Jamaica",24.3,"Paraguay",26.8,"Central African Republic",12.8,"Yemen",40.3,"Bangladesh",44,"BHS"
"Bahrain",39.4,"Morocco",34.6,"Tanzania",42,"AVERAGE",38.4,"Brunei",24.2,"Dominica",49.3,"Mexico",57,"BHR"
"Bangladesh",35,"Andorra",27.9,"Cameroon",35.6,"Cabo Verde",32.7,"Madagascar",19.2,"Congo (Democratic Republic)",45.9,"Algeria",51.4,"BGD"
"Barbados",31.9,"Zambia",24.5,"Botswana",28.2,"Samoa",28.9,"Zimbabwe",14.7,"Kuwait",42.2,"Laos",46.8,"BRB"
"Belarus",35.3,"Belize",30,"Suriname",36.7,"Lithuania",33.9,"Nigeria",19.9,"South Africa",46.3,"Micronesia",53.1,"BLR"
"Belgium",61,"South Korea",57.3,"Estonia",77.6,"Denmark",58.4,"Slovenia",54.9,"Uganda",65.4,"Belgium",78.2,"BEL"
"Belize",31.8,"Sri Lanka",24.2,"Honduras",27.7,"Burundi",28.4,"Cook Islands",14.3,"Brazil",41.9,"Turkmenistan",45.1,"BLZ"
