"","country_code","date","cases","deaths","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","pop_2019","is_island","cases_per_capita","deaths_per_capita","case_fatality_ratio"
"1","AFG",2020-12-31,51526,2191,32.3,23.5,44.8,23.6,21,56.3,23.3,38041754000,FALSE,1.35445910301612e-06,5.75946103852099e-08,23.517115472387
"2","AGO",2020-12-31,17553,405,25.2,24,17.9,21.7,10.9,41.4,42.2,31825295000,FALSE,5.51542413039691e-07,1.2725726501514e-08,43.3407407407407
"3","ALB",2020-12-31,58316,1181,52.9,43.8,74.3,52,35.9,53,55.7,2854191000,FALSE,2.04317090201742e-05,4.13777494218151e-07,49.3784928027096
"4","AND",2020-12-31,8049,84,30.5,27.9,14.2,30.5,9.2,32.4,83.5,77142000,FALSE,0.000104340048222758,1.08890098778875e-06,95.8214285714286
"5","ARE",2020-12-31,207822,669,46.7,49.3,31.6,49.7,22.9,63.4,72.4,9770529000,FALSE,2.12702915062224e-05,6.84712158369317e-08,310.645739910314
"6","ARG",2020-12-31,1625514,43245,58.6,41.4,74.9,50.6,54.9,68.8,60,44938712000,FALSE,3.61717977141846e-05,9.62310624300937e-07,37.5884842178287
"7","ARM",2020-12-31,159409,2823,50.2,56.7,60.8,55.5,25.7,50.1,50.4,2957731000,FALSE,5.38957058637178e-05,9.54447852086616e-07,56.467941905774
"8","ATG",2020-12-31,159,5,29,17.8,19.1,21.7,7.4,55.1,65.2,97118000,TRUE,1.63718363228238e-06,5.14837620214584e-08,31.8
"9","AUS",2020-12-31,28425,909,75.5,68.9,97.3,65.9,63.5,77,79.4,25364307000,TRUE,1.12066929327105e-06,3.58377620961614e-08,31.2706270627063
"10","AUT",2020-12-31,360815,6222,58.5,57.4,73.2,42.3,46.6,52.8,84.6,8877067000,FALSE,4.06457448163904e-05,7.00907180265734e-07,57.9901960784314
"11","AZE",2020-12-31,218700,2641,34.2,30.8,45,25.5,17.9,36.2,54.2,10023318000,FALSE,2.18191221709218e-05,2.63485604267968e-07,82.809541840212
"12","BDI",2020-12-31,818,2,22.8,25.1,11.4,28.4,8.9,37.6,28.3,11530580000,FALSE,7.09417913062483e-08,1.73451812484715e-10,409
"13","BEL",2020-12-31,646496,19528,61,63.5,62.5,47.3,60.5,59.7,78.2,11484055000,FALSE,5.62950978552436e-05,1.70044466000903e-06,33.1061040557149
"14","BEN",2020-12-31,3251,44,28.8,16.5,24.2,34.1,5.6,53.6,42.8,11801151000,FALSE,2.75481603446986e-07,3.72844987747382e-09,73.8863636363636
"15","BFA",2020-12-31,6707,85,30.1,18,33.3,38,5.6,44.8,42.6,20321378000,FALSE,3.30046515546337e-07,4.18278721059172e-09,78.9058823529412
"16","BGD",2020-12-31,513510,7559,35,27.3,50.9,23.1,14.7,52.5,44,163046161000,FALSE,3.14947617809904e-06,4.63611038348827e-08,67.9335890990872
"17","BGR",2020-12-31,202266,7576,45.6,37.6,53.3,21.7,41,61.5,66.3,6975761000,FALSE,2.89955461490151e-05,1.08604638260973e-06,26.698257655755
"18","BHR",2020-12-31,92675,352,39.4,36,45.8,43.2,27.7,27.8,57.8,1641172000,TRUE,5.646879181463e-05,2.14480870987319e-07,263.28125
"19","BHS",2020-12-31,7871,170,30.6,24.7,21.8,30.9,7.9,46,61.4,389482000,TRUE,2.02088928371529e-05,4.36477167109135e-07,46.3
"20","BIH",2020-12-31,110985,4050,42.8,36.7,41.7,51.8,38.3,37.8,50.8,3.301e+09,FALSE,3.36216298091487e-05,1.22690093910936e-06,27.4037037037037
"21","BLR",2020-12-31,194284,1424,35.3,19.4,28.9,46.6,40.6,25.8,53,9466856000,FALSE,2.0522547295533e-05,1.50419526820731e-07,136.435393258427
"22","BLZ",2020-12-31,10776,248,31.8,30,30.4,25.5,9.7,49.3,53,390353000,FALSE,2.76057824584415e-05,6.35322387684993e-07,43.4516129032258
"23","BOL",2020-12-31,160124,9165,35.8,44,33.1,29.2,14.9,48.5,50.9,11513100000,FALSE,1.39079830801435e-05,7.96049717278578e-07,17.4712493180578
"24","BRA",2020-12-31,7675973,194949,59.7,59.2,82.4,67.1,45,41.9,56.2,211049527000,FALSE,3.63704818916746e-05,9.23712091522479e-07,39.3742619864683
"25","BRB",2020-12-31,383,7,31.9,33.3,19.1,27.2,8.5,46,69.9,287025000,TRUE,1.33437853845484e-06,2.43881195017856e-08,54.7142857142857
"26","BRN",2020-12-31,157,3,32.6,24.8,30.5,33.4,24.2,23.3,66.7,433285000,TRUE,3.62348108058206e-07,6.92384919856445e-09,52.3333333333333
"27","BTN",2020-12-31,670,0,40.3,35.5,42.8,42,27.9,39.7,56.9,763092000,FALSE,8.78006845832482e-07,0,Inf
"28","BWA",2020-12-31,14805,42,31.1,22,28.2,23.9,13.3,46.3,62.4,2303697000,FALSE,6.42662641831803e-06,1.82315643072852e-08,352.5
"29","CAF",2020-12-31,4963,63,27.3,18,17.7,46.6,12.8,44.2,23,4745185000,FALSE,1.04590231993062e-06,1.32766161909388e-08,78.7777777777778
