"state","country","date","cases"
"","Afghanistan","1/22/20",0
"","Albania","1/22/20",0
"","Algeria","1/22/20",0
"","Andorra","1/22/20",0
"","Angola","1/22/20",0
"","Antigua and Barbuda","1/22/20",0
"","Argentina","1/22/20",0
"","Armenia","1/22/20",0
"Australian Capital Territory","Australia","1/22/20",0
"New South Wales","Australia","1/22/20",0
"Northern Territory","Australia","1/22/20",0
"Queensland","Australia","1/22/20",0
"South Australia","Australia","1/22/20",0
"Tasmania","Australia","1/22/20",0
"Victoria","Australia","1/22/20",0
"Western Australia","Australia","1/22/20",0
"","Austria","1/22/20",0
"","Azerbaijan","1/22/20",0
"","Bahamas","1/22/20",0
"","Bahrain","1/22/20",0
"","Bangladesh","1/22/20",0
"","Barbados","1/22/20",0
"","Belarus","1/22/20",0
"","Belgium","1/22/20",0
"","Belize","1/22/20",0
"","Benin","1/22/20",0
"","Bhutan","1/22/20",0
"","Bolivia","1/22/20",0
"","Bosnia and Herzegovina","1/22/20",0
"","Botswana","1/22/20",0
"","Brazil","1/22/20",0
"","Brunei","1/22/20",0
"","Bulgaria","1/22/20",0
"","Burkina Faso","1/22/20",0
"","Burma","1/22/20",0
"","Burundi","1/22/20",0
"","Cabo Verde","1/22/20",0
"","Cambodia","1/22/20",0
"","Cameroon","1/22/20",0
"Alberta","Canada","1/22/20",0
"British Columbia","Canada","1/22/20",0
"Diamond Princess","Canada","1/22/20",0
"Grand Princess","Canada","1/22/20",0
"Manitoba","Canada","1/22/20",0
"New Brunswick","Canada","1/22/20",0
"Newfoundland and Labrador","Canada","1/22/20",0
"Northwest Territories","Canada","1/22/20",0
"Nova Scotia","Canada","1/22/20",0
"Nunavut","Canada","1/22/20",0
"Ontario","Canada","1/22/20",0
"Prince Edward Island","Canada","1/22/20",0
"Quebec","Canada","1/22/20",0
"Repatriated Travellers","Canada","1/22/20",0
"Saskatchewan","Canada","1/22/20",0
"Yukon","Canada","1/22/20",0
"","Central African Republic","1/22/20",0
"","Chad","1/22/20",0
"","Chile","1/22/20",0
"Anhui","China","1/22/20",1
"Beijing","China","1/22/20",14
"Chongqing","China","1/22/20",6
"Fujian","China","1/22/20",1
"Gansu","China","1/22/20",0
"Guangdong","China","1/22/20",26
"Guangxi","China","1/22/20",2
"Guizhou","China","1/22/20",1
"Hainan","China","1/22/20",4
"Hebei","China","1/22/20",1
"Heilongjiang","China","1/22/20",0
"Henan","China","1/22/20",5
