"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","gdp_pc","X2019","is_island"
"AFG",43,1,2020-03-24,30,38041754,0.0011303369450315,2.62869056984071e-05,2.32558139534884,32.3,23.5,44.8,23.6,21,56.3,23.3,507.1034319,2.85,FALSE
"AGO",24,2,2020-04-18,30,31825295,0.000754117126015643,6.28430938346369e-05,8.33333333333333,25.2,24,17.9,21.7,10.9,41.4,42.2,2790.726615,3.72,FALSE
"ALB",383,22,2020-04-07,30,2854191,0.134188636990307,0.00770796348247191,5.74412532637076,52.9,43.8,74.3,52,35.9,53,55.7,5353.244856,5.89,FALSE
"AND",376,12,2020-03-31,30,77142,4.87412823105442,0.155557283969822,3.19148936170213,30.5,27.9,14.2,30.5,9.2,32.4,83.5,40886.39116,NA,FALSE
"ARE",13,0,2020-02-27,30,9770529,0.00133053184735443,0,0,46.7,49.3,31.6,49.7,22.9,63.4,72.4,43103.32306,2.76,FALSE
"ARG",1054,28,2020-04-01,30,44938712,0.0234541657535712,0.000623070816982917,2.65654648956357,58.6,41.4,74.9,50.6,54.9,68.8,60,9912.281809,7.02,FALSE
"ARM",482,3,2020-03-30,30,2957731,0.162962757600336,0.00101429102240873,0.622406639004149,50.2,56.7,60.8,55.5,25.7,50.1,50.4,4622.733493,5.54,FALSE
"ATG",21,2,2020-04-11,30,97118,0.216231800490125,0.0205935048085834,9.52380952380952,29,17.8,19.1,21.7,7.4,55.1,65.2,17112.82113,NA,TRUE
"AUS",15,0,2020-02-24,30,25364307,0.000591382212807943,0,0,75.5,68.9,97.3,65.9,63.5,77,79.4,55060.3261,9.09,TRUE
"AUT",5588,30,2020-03-25,30,8877067,0.629487194362733,0.0033794946010884,0.536864710093057,58.5,57.4,73.2,42.3,46.6,52.8,84.6,50137.66278,8.29,FALSE
"AZE",273,4,2020-03-30,30,10023318,0.0272364899527282,0.000399069449856824,1.46520146520147,34.2,30.8,45,25.5,17.9,36.2,54.2,4793.58702,2.75,FALSE
"BDI",11,1,2020-04-29,30,11530580,0.00095398496866593,8.67259062423573e-05,9.09090909090909,22.8,25.1,11.4,28.4,8.9,37.6,28.3,261.2474725,2.15,FALSE
"BEL",23,0,2020-03-04,30,11484055,0.00200277689370175,0,0,61,63.5,62.5,47.3,60.5,59.7,78.2,46420.66377,7.64,FALSE
"BEN",35,1,2020-04-14,30,11801151,0.00296581240253599,8.4737497215314e-05,2.85714285714286,28.8,16.5,24.2,34.1,5.6,53.6,42.8,1219.432672,5.09,FALSE
"BFA",414,23,2020-04-08,30,20321378,0.0203726341786467,0.00113181300992482,5.55555555555556,30.1,18,33.3,38,5.6,44.8,42.6,786.8956313,4.04,FALSE
"BGD",123,12,2020-04-06,30,163046161,0.000754387587206055,7.35987889957127e-05,9.75609756097561,35,27.3,50.9,23.1,14.7,52.5,44,1855.739824,5.88,FALSE
"BGR",549,22,2020-04-06,30,6975761,0.0787010908200553,0.00315377777420987,4.00728597449909,45.6,37.6,53.3,21.7,41,61.5,66.3,9828.148515,7.03,FALSE
"BHR",392,3,2020-03-24,30,1641172,0.238853697235878,0.00182796196864192,0.76530612244898,39.4,36,45.8,43.2,27.7,27.8,57.8,23503.97713,2.55,TRUE
"BHS",49,8,2020-04-14,30,389482,0.125808124637339,0.0205401019816063,16.3265306122449,30.6,24.7,21.8,30.9,7.9,46,61.4,34863.7421,NA,TRUE
"BIH",579,17,2020-04-03,30,3301000,0.175401393517116,0.00514995455922448,2.93609671848014,42.8,36.7,41.7,51.8,38.3,37.8,50.8,6108.510696,4.86,FALSE
"BLR",94,0,2020-03-28,30,9466856,0.00992937887721119,0,0,35.3,19.4,28.9,46.6,40.6,25.8,53,6663.295293,2.48,FALSE
"BLZ",18,2,2020-04-21,30,390353,0.0461121087835882,0.00512356764262091,11.1111111111111,31.8,30,30.4,25.5,9.7,49.3,53,4815.163711,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",264,18,2020-04-09,30,11513100,0.0229304010214451,0.00156343643328035,6.81818181818182,35.8,44,33.1,29.2,14.9,48.5,50.9,3552.06876,4.84,FALSE
