"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","gdp_pc","X2019","is_island"
"ARE",270810,776,2021-01-22,360,9770529,27.7170253524656,0.079422516426695,0.286547764115062,46.7,49.3,31.6,49.7,22.9,63.4,72.4,43103.32306,2.76,FALSE
"AUS",28740,909,2021-01-19,360,25364307,1.13308831974002,0.0358377620961613,3.16283924843424,75.5,68.9,97.3,65.9,63.5,77,79.4,55060.3261,9.09,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",724629,18289,2021-01-19,360,37589262,19.2775532544374,0.486548525480495,2.52391223646859,75.3,70,96.4,60.7,67.7,74.7,82.7,46194.72523,9.22,FALSE
"CHN",97775,4797,2021-01-16,360,1397715000,0.0699534597539556,0.00343203013489875,4.90616210687804,48.2,45,48.5,48.6,45.7,40.3,64.4,10261.67925,2.26,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",2100618,50010,2021-01-20,360,83132799,25.2682217520428,0.601567619538469,2.38072795720117,66,66.5,84.6,54.8,48.2,61.9,82.3,46445.2491,8.68,FALSE
"ESP",2593382,56208,2021-01-25,360,47076781,55.0883459937501,1.19396438766703,2.16736292609419,65.9,52.9,83,61.9,59.6,61.1,77.1,29600.37825,8.29,FALSE
"FIN",41915,644,2021-01-22,360,5520314,7.59286518846573,0.116660030570725,1.5364428009066,68.7,68.5,61.6,69.2,60.8,75.4,81.1,48782.78848,9.25,FALSE
"FRA",2969091,70422,2021-01-17,360,67059887,44.2752162704957,1.05013597771198,2.37183703699213,68.2,71.2,75.3,62.9,60.9,58.6,83,40493.92857,8.12,FALSE
"GBR",3657857,98129,2021-01-24,360,66834405,54.7301498382457,1.46824079603911,2.68269098545952,77.9,68.3,87.3,91.9,59.8,81.2,74.7,42330.11754,8.52,TRUE
