"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment"
"AFG",1236,40,2020-04-23,60,38041754,0.0324906154432311,0.00105147622793628,3.23624595469256,32.3,23.5,44.8,23.6,21,56.3,23.3
"AGO",50,3,2020-05-18,60,31825295,0.00157107734586592,9.42646407519553e-05,6,25.2,24,17.9,21.7,10.9,41.4,42.2
"ALB",842,31,2020-05-07,60,2854191,0.295004784192789,0.0108612212707559,3.68171021377672,52.9,43.8,74.3,52,35.9,53,55.7
"AND",745,42,2020-04-30,60,77142,9.65751471312644,0.544450493894377,5.63758389261745,30.5,27.9,14.2,30.5,9.2,32.4,83.5
"ARE",468,2,2020-03-28,60,9770529,0.0478991465047594,0.000204697207285296,0.427350427350427,46.7,49.3,31.6,49.7,22.9,63.4,72.4
"ARG",4532,225,2020-05-01,60,44938712,0.100848462234521,0.00500681906504129,4.96469549867608,58.6,41.4,74.9,50.6,54.9,68.8,60
"ARM",1932,30,2020-04-29,60,2957731,0.653203418431223,0.0101429102240873,1.5527950310559,50.2,56.7,60.8,55.5,25.7,50.1,50.4
"ATG",25,3,2020-05-11,60,97118,0.257418810107292,0.0308902572128751,12,29,17.8,19.1,21.7,7.4,55.1,65.2
"AUS",2364,8,2020-03-25,60,25364307,0.0932018367385318,0.000315403846830903,0.338409475465313,75.5,68.9,97.3,65.9,63.5,77,79.4
"AUT",15071,530,2020-04-24,60,8877067,1.69774543776678,0.0597044046192284,3.51668767832261,58.5,57.4,73.2,42.3,46.6,52.8,84.6
"AZE",1766,23,2020-04-29,60,10023318,0.176189162111788,0.00229464933667674,1.30237825594564,34.2,30.8,45,25.5,17.9,36.2,54.2
"BDI",42,1,2020-05-29,60,11530580,0.00364248806217901,8.67259062423573e-05,2.38095238095238,22.8,25.1,11.4,28.4,8.9,37.6,28.3
"BEL",16770,1143,2020-04-03,60,11484055,1.46028558727732,0.099529303891352,6.81574239713775,61,63.5,62.5,47.3,60.5,59.7,78.2
"BEN",339,2,2020-05-14,60,11801151,0.0287260115559914,0.000169474994430628,0.589970501474926,28.8,16.5,24.2,34.1,5.6,53.6,42.8
"BFA",744,48,2020-05-08,60,20321378,0.0366116904080028,0.0023620445424518,6.45161290322581,30.1,18,33.3,38,5.6,44.8,42.6
"BGD",11719,186,2020-05-06,60,163046161,0.0718753506867297,0.00114078122943355,1.58716614045567,35,27.3,50.9,23.1,14.7,52.5,44
"BGR",1778,84,2020-05-06,60,6975761,0.254882585570234,0.012041696956074,4.7244094488189,45.6,37.6,53.3,21.7,41,61.5,66.3
"BHR",2217,8,2020-04-23,60,1641172,1.35086389482638,0.00487456524971179,0.36084799278304,39.4,36,45.8,43.2,27.7,27.8,57.8
"BHS",96,11,2020-05-14,60,389482,0.246481223779276,0.0282426402247087,11.4583333333333,30.6,24.7,21.8,30.9,7.9,46,61.4
"BIH",1857,77,2020-05-03,60,3301000,0.562556800969403,0.023326264768252,4.14647280560043,42.8,36.7,41.7,51.8,38.3,37.8,50.8
"BLR",11289,75,2020-04-27,60,9466856,1.19247615047699,0.00792237676373233,0.66436353972894,35.3,19.4,28.9,46.6,40.6,25.8,53
"BLZ",18,2,2020-05-21,60,390353,0.0461121087835882,0.00512356764262091,11.1111111111111,31.8,30,30.4,25.5,9.7,49.3,53
"BOL",2437,114,2020-05-09,60,11513100,0.211671921550234,0.00990176407744222,4.67788264259335,35.8,44,33.1,29.2,14.9,48.5,50.9
"BRA",59324,4057,2020-04-25,60,211049527,0.281090419122332,0.019222976036331,6.83871620254872,59.7,59.2,82.4,67.1,45,41.9,56.2
"BRB",85,7,2020-05-15,60,287025,0.29614145109311,0.0243881195017856,8.23529411764706,31.9,33.3,19.1,27.2,8.5,46,69.9
"BRN",141,1,2020-05-07,60,433285,0.325420912332529,0.00230794973285482,0.709219858156028,32.6,24.8,30.5,33.4,24.2,23.3,66.7
"BTN",7,0,2020-05-04,60,763092,0.00917320585198115,0,0,40.3,35.5,42.8,42,27.9,39.7,56.9
"BWA",35,1,2020-05-28,60,2303697,0.015192970256071,0.000434084864459171,2.85714285714286,31.1,22,28.2,23.9,13.3,46.3,62.4
"CAF",143,0,2020-05-13,60,4745185,0.0301358113540357,0,0,27.3,18,17.7,46.6,12.8,44.2,23
"CAN",3251,30,2020-03-25,60,37589262,0.0864874654894794,0.000798100265974895,0.9227929867733,75.3,70,96.4,60.7,67.7,74.7,82.7
"CHE",28677,1589,2020-04-24,60,8574832,3.34432208117897,0.185309753007406,5.54102590926526,67,52.7,59.1,79.3,62.5,65.6,86.2
"CHL",12164,160,2020-04-22,60,18952038,0.641830709710481,0.00844236382388005,1.31535679052943,58.3,56.2,72.7,60.2,39.3,51.5,70.1
"CHN",81435,3274,2020-03-22,60,1397715000,0.0582629506015175,0.00234239455110663,4.02038435562105,48.2,45,48.5,48.6,45.7,40.3,64.4
"CIV",1667,21,2020-05-09,60,25716544,0.0648220849582277,0.000816594951483372,1.25974805038992,35.5,27.3,44.5,29.7,17.1,53.6,42.7
"CMR",2104,64,2020-05-04,60,25876380,0.0813096731459346,0.00247329804246189,3.04182509505703,34.4,28.2,35.6,29.5,21.4,59.9,33.6
"COD",937,39,2020-05-09,60,86790567,0.0107961041434376,0.000449357589748204,4.16221985058698,26.5,24,25.1,31.3,11.8,45.9,20.1
"COG",333,11,2020-05-13,60,5380508,0.0618900668858777,0.00204441662385782,3.3033033033033,23.6,17.6,7,23.6,6.3,56.8,38.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL",7973,358,2020-05-04,60,50339443,0.158384748118886,0.00711171953173975,4.49015427066349,44.2,37.2,41.7,43.5,34.3,60.1,51
"COM",272,7,2020-06-28,60,850886,0.319666794376685,0.00822671897292939,2.57352941176471,27.2,19.2,23.2,27.1,9.4,51.6,36.5
"CPV",328,3,2020-05-18,60,549935,0.59643412403284,0.00545519015883695,0.914634146341463,29.3,27.9,9.3,32.7,16.1,33.9,67.4
"CRI",742,6,2020-05-04,60,5047561,0.147001690519441,0.00118869291525154,0.808625336927224,45.1,44.2,56,36.6,24.8,43.1,71.7
"CUB",1766,77,2020-05-10,60,11333483,0.155821471651742,0.00679402792592533,4.36013590033975,35.2,41.4,10.5,25.9,37.4,49.8,57.8
"CYP",889,15,2020-05-07,60,1198575,0.741714118849467,0.01251486139791,1.68728908886389,43,46.4,44.9,33.9,21.9,49.1,69.6
"CZE",7579,227,2020-04-29,60,10669709,0.710328650950087,0.021275181919207,2.99511808945771,52,51.1,50.7,46.6,37.4,58.9,74
"DEU",43938,267,2020-03-26,60,83132799,0.52852785577447,0.00321172874258691,0.607674450361874,66,66.5,84.6,54.8,48.2,61.9,82.3
"DJI",1331,4,2020-05-16,60,973560,1.36714737663832,0.00410863223632853,0.300525920360631,23.2,16.3,17,23.2,9.3,36.3,42.7
"DMA",16,0,2020-05-20,60,71808,0.222816399286988,0,0,24,11.2,10.7,20.9,8.5,49.3,54
"DNK",8773,422,2020-04-26,60,5818553,1.50776318442059,0.0725266230280965,4.81021315399521,70.4,72.9,86,58.4,63.8,62.6,80.3
"DOM",6652,293,2020-04-29,60,10738958,0.619426949989003,0.0272838388975914,4.40469031870114,38.3,30.5,37.1,47.3,16.1,43.5,59.3
