Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38041754
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,507.103431871987
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5353.2448564014
Algeria,DZA,"Population, total",SP.POP.TOTL,43053054
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3973.96407191565
American Samoa,ASM,"Population, total",SP.POP.TOTL,55312
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Andorra,AND,"Population, total",SP.POP.TOTL,77142
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40886.3911648431
Angola,AGO,"Population, total",SP.POP.TOTL,31825295
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2790.72661520665
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97118
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17112.8211347326
Arab World,ARB,"Population, total",SP.POP.TOTL,427870270
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6584.74024069285
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9912.28180859803
Armenia,ARM,"Population, total",SP.POP.TOTL,2957731
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4622.73349328671
Aruba,ABW,"Population, total",SP.POP.TOTL,106314
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Australia,AUS,"Population, total",SP.POP.TOTL,25364307
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,55060.3261005013
Austria,AUT,"Population, total",SP.POP.TOTL,8877067
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50137.6627762476
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10023318
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4793.58701966989
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,389482
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,34863.7420984795
Bahrain,BHR,"Population, total",SP.POP.TOTL,1641172
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23503.977126673
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163046161
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1855.73982408046
Barbados,BRB,"Population, total",SP.POP.TOTL,287025
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18148.2449264001
Belarus,BLR,"Population, total",SP.POP.TOTL,9466856
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6663.29529282582
Belgium,BEL,"Population, total",SP.POP.TOTL,11484055
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46420.6637668061
Belize,BLZ,"Population, total",SP.POP.TOTL,390353
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4815.1637107951
Benin,BEN,"Population, total",SP.POP.TOTL,11801151
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1219.43267185875
Bermuda,BMU,"Population, total",SP.POP.TOTL,63918
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,117089.286273037
Bhutan,BTN,"Population, total",SP.POP.TOTL,763092
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3316.17571350084
Bolivia,BOL,"Population, total",SP.POP.TOTL,11513100
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3552.0687602631
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3301000
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6108.51069581338
Botswana,BWA,"Population, total",SP.POP.TOTL,2303697
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7961.32518123885
Brazil,BRA,"Population, total",SP.POP.TOTL,211049527
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8717.18627810819
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30030
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,433285
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31086.7511188028
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9828.14851478139
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20321378
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,786.895631290168
Burundi,BDI,"Population, total",SP.POP.TOTL,11530580
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,261.247472515742
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,549935
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3603.78179304514
Cambodia,KHM,"Population, total",SP.POP.TOTL,16486542
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1643.12138876539
Cameroon,CMR,"Population, total",SP.POP.TOTL,25876380
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1507.45020591288
Canada,CAN,"Population, total",SP.POP.TOTL,37589262
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46194.7252255167
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7401383
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10500.9719018527
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64948
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4745185
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,467.907440636335
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102378579
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16300.7920722546
Chad,TCD,"Population, total",SP.POP.TOTL,15946876
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,709.540310138533
Channel Islands,CHI,"Population, total",SP.POP.TOTL,172259
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Chile,CHL,"Population, total",SP.POP.TOTL,18952038
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14896.4538665789
China,CHN,"Population, total",SP.POP.TOTL,1397715000
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10261.6792453621
Colombia,COL,"Population, total",SP.POP.TOTL,50339443
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6428.67620562768
Comoros,COM,"Population, total",SP.POP.TOTL,850886
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1370.14820676715
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,86790567
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,580.716867207745
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5380508
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2279.96913053355
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5047561
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12243.8114267607
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25716544
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2276.33327906444
Croatia,HRV,"Population, total",SP.POP.TOTL,4067500
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,14936.100547343
Cuba,CUB,"Population, total",SP.POP.TOTL,11333483
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Curacao,CUW,"Population, total",SP.POP.TOTL,157538
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19689.13982339
Cyprus,CYP,"Population, total",SP.POP.TOTL,1198575
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,27858.3709958327
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10669709
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23494.5962002944
Denmark,DNK,"Population, total",SP.POP.TOTL,5818553
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,60170.3426365069
Djibouti,DJI,"Population, total",SP.POP.TOTL,973560
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3414.92486968779
Dominica,DMA,"Population, total",SP.POP.TOTL,71808
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8110.56851191655
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10738958
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8282.11635935324
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3290290613
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3644.01459793481
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2340628292
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11530.1381346129
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2093675040
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,8222.27687284776
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2067984156
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8308.52290628931
Ecuador,ECU,"Population, total",SP.POP.TOTL,17373662
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6183.82382482173
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,100388073
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3019.20582861756
El Salvador,SLV,"Population, total",SP.POP.TOTL,6453553
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4187.2500311069
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1355986
