"country","pop_2019","country_code"
"Afghanistan",38041754,"AFG"
"Albania",2854191,"ALB"
"Algeria",43053054,"DZA"
"American Samoa",55312,"ASM"
"Andorra",77142,"AND"
"Angola",31825295,"AGO"
"Antigua and Barbuda",97118,"ATG"
"Argentina",44938712,"ARG"
"Armenia",2957731,"ARM"
"Aruba",106314,"ABW"
"Australia",25364307,"AUS"
"Austria",8877067,"AUT"
"Azerbaijan",10023318,"AZE"
"Bahamas, The",389482,"BHS"
"Bahrain",1641172,"BHR"
"Bangladesh",163046161,"BGD"
"Barbados",287025,"BRB"
"Belarus",9466856,"BLR"
"Belgium",11484055,"BEL"
"Belize",390353,"BLZ"
"Benin",11801151,"BEN"
"Bermuda",63918,"BMU"
"Bhutan",763092,"BTN"
"Bolivia",11513100,"BOL"
"Bosnia and Herzegovina",3301000,"BIH"
"Botswana",2303697,"BWA"
"Brazil",211049527,"BRA"
"British Virgin Islands",30030,"VGB"
"Brunei Darussalam",433285,"BRN"
"Bulgaria",6975761,"BGR"
"Burkina Faso",20321378,"BFA"
"Burundi",11530580,"BDI"
"Cabo Verde",549935,"CPV"
"Cambodia",16486542,"KHM"
"Cameroon",25876380,"CMR"
"Canada",37589262,"CAN"
"Cayman Islands",64948,"CYM"
"Central African Republic",4745185,"CAF"
"Chad",15946876,"TCD"
"Chile",18952038,"CHL"
"China",1397715000,"CHN"
"Colombia",50339443,"COL"
"Comoros",850886,"COM"
"Congo, Dem. Rep.",86790567,"COD"
"Congo, Rep.",5380508,"COG"
"Costa Rica",5047561,"CRI"
"Cote d'Ivoire",25716544,"CIV"
"Croatia",4067500,"HRV"
"Cuba",11333483,"CUB"
"Cyprus",1198575,"CYP"
"Czech Republic",10669709,"CZE"
"Denmark",5818553,"DNK"
"Djibouti",973560,"DJI"
"Dominica",71808,"DMA"
"Dominican Republic",10738958,"DOM"
"Ecuador",17373662,"ECU"
"Egypt, Arab Rep.",100388073,"EGY"
"El Salvador",6453553,"SLV"
"Equatorial Guinea",1355986,"GNQ"
"Eritrea",NA,"ERI"
"Estonia",1326590,"EST"
"Eswatini",1148130,"SWZ"
"Ethiopia",112078730,"ETH"
"Faroe Islands",48678,"FRO"
"Fiji",889953,"FJI"
"Finland",5520314,"FIN"
"France",67059887,"FRA"
"French Polynesia",279287,"PYF"
